#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2E82
#Date Time: 2024-12-01 08:39:18.109
#Sample rate: 7.69231e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -850 mV Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1.5 V
#Offset: 1.5 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.0006510447425897036,-0.01617701845338726
-0.0006509147425897036,-0.01584263180945022
-0.0006507847425897037,-0.01617701845338726
-0.0006506547425897037,-0.01584263180945022
-0.0006505247425897037,-0.01584263180945022
-0.0006503947425897037,-0.01584263180945022
-0.0006502647425897036,-0.01617701845338726
-0.0006501347425897036,-0.01617701845338711
-0.0006500047425897036,-0.01584263180945022
-0.0006498747425897036,-0.01584263180945022
-0.0006497447425897037,-0.01617701845338726
-0.0006496147425897037,-0.01584263180945022
-0.0006494847425897037,-0.01617701845338726
-0.0006493547425897037,-0.01584263180945038
-0.0006492247425897037,-0.01651140509732399
-0.0006490947425897036,-0.01617701845338726
-0.0006489647425897036,-0.01617701845338726
-0.0006488347425897036,-0.01584263180945022
-0.0006487047425897037,-0.01617701845338726
-0.0006485747425897037,-0.01651140509732429
-0.0006484447425897037,-0.01617701845338726
-0.0006483147425897037,-0.01550824516551349
-0.0006481847425897037,-0.01584263180945007
-0.0006480547425897036,-0.01617701845338695
-0.0006479247425897036,-0.01550824516551349
-0.0006477947425897036,-0.01617701845338726
-0.0006476647425897036,-0.01550824516551319
-0.0006475347425897037,-0.01550824516551319
-0.0006474047425897037,-0.01584263180945022
-0.0006472747425897037,-0.01550824516551334
-0.0006471447425897037,-0.01517385852157631
-0.0006470147425897036,-0.01584263180945038
-0.0006468847425897036,-0.01617701845338681
-0.0006467547425897036,-0.01517385852157616
-0.0006466247425897036,-0.01550824516551319
-0.0006464947425897037,-0.01550824516551319
-0.0006463647425897037,-0.01550824516551319
-0.0006462347425897037,-0.01550824516551319
-0.0006461047425897037,-0.01550824516551319
-0.0006459747425897036,-0.01584263180945007
-0.0006458447425897036,-0.01550824516551319
-0.0006457147425897036,-0.01550824516551319
-0.0006455847425897036,-0.01584263180945022
-0.0006454547425897037,-0.01584263180945022
-0.0006453247425897037,-0.01550824516551319
-0.0006451947425897037,-0.01584263180945022
-0.0006450647425897037,-0.01651140509732399
-0.0006449347425897037,-0.01584263180945053
-0.0006448047425897036,-0.01550824516551304
-0.0006446747425897036,-0.01517385852157646
-0.0006445447425897036,-0.01584263180945022
-0.0006444147425897037,-0.01617701845338726
-0.0006442847425897037,-0.01617701845338726
