#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2E82
#Date Time: 2024-12-01 15:24:16.478
#Sample rate: 1.42857e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2.5 V
#Offset: 1.5 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.000276394,-1.035060684307203
-0.000276324,-1.035060684307203
-0.000276254,-1.031386928735543
-0.000276184,-1.027713173163884
-0.000276114,-1.031386928735543
-0.000276044,-1.031386928735543
-0.000275974,-1.031386928735543
-0.000275904,-1.031386928735543
-0.000275834,-1.035060684307203
-0.000275764,-1.031386928735539
-0.000275694,-1.024039417592222
-0.000275624,-1.024039417592222
-0.000275554,-1.027713173163886
-0.000275484,-1.035060684307203
-0.000275414,-1.024039417592222
-0.000275344,-1.031386928735543
-0.000275274,-1.031386928735543
-0.000275204,-1.027713173163882
-0.000275134,-1.031386928735544
-0.000275064,-1.035060684307203
-0.000274994,-1.031386928735543
-0.000274924,-1.031386928735541
-0.000274854,-1.027713173163882
-0.000274784,-1.027713173163882
-0.000274714,-1.02771317316388
-0.000274644,-1.024039417592222
-0.000274574,-1.024039417592222
-0.000274504,-1.035060684307201
-0.000274434,-1.031386928735543
-0.000274364,-1.031386928735543
-0.000274294,-1.031386928735543
-0.000274224,-1.031386928735543
-0.000274154,-1.031386928735543
-0.000274084,-1.031386928735541
-0.000274014,-1.027713173163882
-0.000273944,-1.031386928735543
-0.000273874,-1.035060684307203
-0.000273804,-1.035060684307203
-0.000273734,-1.024039417592222
-0.000273664,-1.027713173163882
-0.000273594,-1.027713173163882
-0.000273524,-1.027713173163882
-0.000273454,-1.031386928735546
