#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2E82
#Date Time: 2024-12-01 16:38:24.270
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 400 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2.46 V
#Offset: 2.46 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-7.19023076923077e-05,-0.002007571790239991
-7.18823076923077e-05,-0.002007571790239991
-7.186230769230769e-05,-0.00234195843417672
-7.18423076923077e-05,-0.001673185146303261
-7.18223076923077e-05,-0.002341958434177024
-7.18023076923077e-05,-0.002341958434177024
-7.178230769230769e-05,-0.002007571790239991
-7.17623076923077e-05,-0.002007571790239991
-7.17423076923077e-05,-0.001673185146302957
-7.17223076923077e-05,-0.002676345078114057
-7.170230769230769e-05,-0.000670025214491857
-7.168230769230769e-05,-0.001673185146302957
-7.16623076923077e-05,-0.001673185146302957
-7.16423076923077e-05,-0.002341958434177024
-7.162230769230769e-05,-0.001673185146302957
-7.160230769230769e-05,-0.001338798502366076
-7.15823076923077e-05,-0.001673185146302805
-7.15623076923077e-05,-0.002676345078114057
-7.15423076923077e-05,-0.001673185146302957
-7.152230769230769e-05,-0.001004411858429347
-7.15023076923077e-05,-0.002007571790239534
-7.14823076923077e-05,-0.001673185146302957
-7.14623076923077e-05,-0.002341958434177024
-7.144230769230769e-05,-0.00100441185842889
-7.14223076923077e-05,-0.001673185146302653
-7.14023076923077e-05,-0.001338798502365924
-7.13823076923077e-05,-0.002676345078114057
-7.136230769230769e-05,-0.002341958434177024
-7.134230769230769e-05,-0.001338798502366684
-7.13223076923077e-05,-0.003010731722051091
-7.13023076923077e-05,-0.002007571790239991
-7.128230769230769e-05,-0.003010731722051091
-7.126230769230769e-05,-0.002007571790239991
-7.12423076923077e-05,-0.002007571790239991
-7.12223076923077e-05,-0.002341958434177024
-7.12023076923077e-05,-0.002007571790239991
-7.118230769230769e-05,-0.003345118365987972
-7.11623076923077e-05,-0.003010731722051243
-7.11423076923077e-05,-0.001673185146302957
-7.11223076923077e-05,-0.002341958434177024
-7.110230769230769e-05,-0.002341958434177024
-7.10823076923077e-05,-0.002676345078113905
-7.10623076923077e-05,-0.002341958434177024
-7.10423076923077e-05,-0.002341958434177024
-7.102230769230769e-05,-0.003345118365988124
-7.100230769230769e-05,-0.002341958434176872
-7.09823076923077e-05,-0.002007571790239991
-7.09623076923077e-05,-0.002341958434177024
-7.094230769230769e-05,-0.002676345078114057
-7.092230769230769e-05,-0.002676345078114057
-7.09023076923077e-05,-0.002676345078114057
-7.08823076923077e-05,-0.001673185146302957
-7.08623076923077e-05,-0.001338798502365924
-7.084230769230769e-05,-0.002007571790239687
-7.08223076923077e-05,-0.001338798502366228
-7.08023076923077e-05,-0.002676345078114057
-7.07823076923077e-05,-0.002341958434177024
-7.076230769230769e-05,-0.002341958434177024
-7.07423076923077e-05,-0.001673185146303261
-7.07223076923077e-05,-0.001673185146302957
-7.07023076923077e-05,-0.001673185146302957
-7.068230769230769e-05,-0.003010731722051091
-7.066230769230769e-05,-0.001673185146303413
-7.06423076923077e-05,-0.002676345078114057
-7.06223076923077e-05,-0.001673185146302957
-7.060230769230769e-05,-0.001673185146302957
-7.058230769230769e-05,-0.002676345078113905
-7.05623076923077e-05,-0.002341958434177024
-7.05423076923077e-05,-0.002007571790239991
-7.05223076923077e-05,-0.002007571790239991
-7.050230769230769e-05,-0.001338798502366228
-7.04823076923077e-05,-0.002007571790239687
-7.04623076923077e-05,-0.002676345078114057
-7.04423076923077e-05,-0.002341958434177024
-7.042230769230769e-05,-0.002341958434177024
-7.04023076923077e-05,-0.002676345078113905
-7.03823076923077e-05,-0.003010731722051091
-7.03623076923077e-05,-0.003010731722051091
-7.034230769230769e-05,-0.002007571790239991
-7.03223076923077e-05,-0.001673185146303109
-7.03023076923077e-05,-0.002341958434177024
-7.02823076923077e-05,-0.002007571790239991
-7.026230769230769e-05,-0.003345118365988124
-7.024230769230769e-05,-0.002341958434177024
-7.02223076923077e-05,-0.002341958434177024
-7.02023076923077e-05,-0.002341958434177024
-7.018230769230769e-05,-0.001338798502365924
-7.016230769230769e-05,-0.003010731722050939
-7.01423076923077e-05,-0.00267634507811421
-7.01223076923077e-05,-0.002676345078114057
-7.01023076923077e-05,-0.003010731722051091
-7.008230769230769e-05,-0.003010731722050635
-7.00623076923077e-05,-0.002007571790240447
-7.00423076923077e-05,-0.002341958434177024
-7.00223076923077e-05,-0.002341958434177024
-7.000230769230769e-05,-0.001673185146302957
-6.99823076923077e-05,-0.003010731722050483
-6.99623076923077e-05,-0.003345118365988124
-6.99423076923077e-05,-0.002341958434177024
-6.992230769230769e-05,-0.002007571790239991
-6.990230769230769e-05,-0.00234195843417672
-6.98823076923077e-05,-0.001673185146302957
-6.98623076923077e-05,-0.002676345078114057
-6.984230769230769e-05,-0.002341958434177024
-6.982230769230769e-05,-0.002007571790239687
-6.98023076923077e-05,-0.001338798502366228
-6.97823076923077e-05,-0.001338798502365924
-6.97623076923077e-05,-0.002341958434177024
-6.974230769230769e-05,-0.002676345078113601
-6.97223076923077e-05,-0.001673185146303413
-6.97023076923077e-05,-0.002341958434177024
-6.96823076923077e-05,-0.002341958434177024
-6.966230769230769e-05,-0.003345118365988124
-6.96423076923077e-05,-0.002676345078114361
-6.96223076923077e-05,-0.002341958434177024
-6.96023076923077e-05,-0.003010731722051091
-6.958230769230769e-05,-0.002341958434177024
-6.956230769230769e-05,-0.002341958434177328
-6.95423076923077e-05,-0.003010731722051091
-6.95223076923077e-05,-0.002007571790239991
-6.950230769230769e-05,-0.002341958434177024
-6.948230769230769e-05,-0.002007571790239991
-6.94623076923077e-05,-0.002007571790239991
-6.94423076923077e-05,-0.001338798502365924
-6.94223076923077e-05,-0.003010731722051091
-6.940230769230769e-05,-0.00234195843417672
-6.93823076923077e-05,-0.001673185146303261
-6.93623076923077e-05,-0.002341958434177024
-6.93423076923077e-05,-0.002007571790239991
-6.932230769230769e-05,-0.002007571790239991
-6.93023076923077e-05,-0.002007571790239991
-6.92823076923077e-05,-0.002676345078114057
-6.92623076923077e-05,-0.002007571790239991
-6.924230769230769e-05,-0.002676345078114057
-6.922230769230769e-05,-0.002007571790240143
-6.92023076923077e-05,-0.002341958434177024
-6.91823076923077e-05,-0.003345118365988124
-6.916230769230769e-05,-0.002341958434177024
-6.914230769230769e-05,-0.001673185146302957
-6.91223076923077e-05,-0.001673185146302957
-6.91023076923077e-05,-0.002007571790239991
-6.90823076923077e-05,-0.002341958434177024
-6.906230769230769e-05,-0.003010731722050331
-6.90423076923077e-05,-0.001338798502366684
-6.90223076923077e-05,-0.001673185146302957
-6.90023076923077e-05,-0.002676345078114057
-6.898230769230769e-05,-0.001673185146302957
-6.89623076923077e-05,-0.002676345078113601
-6.89423076923077e-05,-0.001673185146302957
-6.89223076923077e-05,-0.002676345078114057
-6.890230769230769e-05,-0.002341958434177024
-6.888230769230769e-05,-0.001338798502365468
-6.88623076923077e-05,-0.0003356385705548236
-6.88423076923077e-05,-0.001338798502365924
-6.882230769230769e-05,-0.002007571790239991
-6.880230769230769e-05,-0.00100441185842889
-6.87823076923077e-05,-0.00100441185842889
-6.87623076923077e-05,-0.001338798502365924
-6.87423076923077e-05,-0.0003356385705548236
-6.872230769230769e-05,-0.001673185146302957
-6.87023076923077e-05,-0.001673185146302957
-6.86823076923077e-05,-0.002007571790239991
-6.86623076923077e-05,-0.001673185146302957
-6.864230769230769e-05,-0.00100441185842889
-6.86223076923077e-05,-0.0006700252144920091
-6.86023076923077e-05,-0.001673185146302957
-6.85823076923077e-05,-0.002676345078114057
-6.856230769230769e-05,-0.001673185146302957
