Time (s),Channel 1 (V)
-7.77E-05,-0.002007572
-7.76E-05,-0.002007572
-7.76E-05,-0.002007572
-7.76E-05,-0.001673185
-7.76E-05,-0.002676345
-7.76E-05,-0.001673185
-7.75E-05,-0.001673185
-7.75E-05,-0.001004412
-7.75E-05,-0.002341958
-7.75E-05,-0.002676345
-7.75E-05,-0.001673185
-7.74E-05,-0.002676345
-7.74E-05,-0.002341958
-7.74E-05,-0.002341958
-7.74E-05,-0.003010732
-7.74E-05,-0.001673185
-7.73E-05,-0.002676345
-7.73E-05,-0.001004412
-7.73E-05,-0.001673185
-7.73E-05,-0.002341958
-7.73E-05,-0.002341958
-7.72E-05,-0.003345118
-7.72E-05,-0.002007572
-7.72E-05,-0.002007572
-7.72E-05,-0.001338799
-7.72E-05,-0.002341958
-7.71E-05,-0.002676345
-7.71E-05,-0.001338799
-7.71E-05,-0.003010732
-7.71E-05,-0.003010732
-7.71E-05,-0.002676345
-7.70E-05,-0.001673185
-7.70E-05,-0.003010732
-7.70E-05,-0.002341958
-7.70E-05,-0.002007572
-7.70E-05,-0.002007572
-7.69E-05,-0.001338799
-7.69E-05,-0.001673185
-7.69E-05,-0.003010732
-7.69E-05,-0.001338799
-7.69E-05,-0.001338799
-7.68E-05,-0.001338799
-7.68E-05,-0.002676345
-7.68E-05,-0.001338799
-7.68E-05,-0.002341958
-7.68E-05,-0.002676345
-7.67E-05,-0.002676345
-7.67E-05,-0.001004412
-7.67E-05,-0.001338799
-7.67E-05,-0.001673185
-7.67E-05,-0.001338799
-7.66E-05,-0.002676345
-7.66E-05,-0.001673185
-7.66E-05,-0.002341958
-7.66E-05,-0.002007572
-7.66E-05,-0.001673185
-7.65E-05,-0.001338799
-7.65E-05,-0.002007572
-7.65E-05,-0.002341958
-7.65E-05,-0.002007572
-7.65E-05,-0.000670025
-7.64E-05,-0.002007572
-7.64E-05,-0.001338799
-7.64E-05,-0.002007572
-7.64E-05,-0.002007572
-7.64E-05,-0.003010732
-7.63E-05,-0.001338799
-7.63E-05,-0.002341958
-7.63E-05,-0.000670025
-7.63E-05,-0.001004412
-7.63E-05,-0.002007572
-7.62E-05,-0.001673185
-7.62E-05,-0.002341958
-7.62E-05,-0.002676345
-7.62E-05,-0.002007572
-7.62E-05,-0.001673185
-7.61E-05,-0.001004412
-7.61E-05,-0.002341958
-7.61E-05,-0.002007572
-7.61E-05,-0.002007572
-7.61E-05,-0.001338799
-7.60E-05,-0.000670025
-7.60E-05,-0.001338799
-7.60E-05,-0.003010732
-7.60E-05,-0.001338799
