#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2E82
#Date Time: 2024-09-30 00:50:27.863
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: 750 mV HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: -3 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 2 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.04474687500000001,-1.053429462165505,-1.161650704481811
-0.044734375,-1.064450728880493,-1.161650704481811
-0.044721875,-1.079145751167128,-1.161650704481811
-0.044709375,-1.090167017882109,-1.165324832516617
-0.044696875,-1.104862040168751,-1.161650704481811
-0.04468437500000001,-1.115883306883732,-1.165324832516617
-0.044671875,-1.130578329170379,-1.165324832516617
-0.044659375,-1.141599595885355,-1.165324832516617
-0.044646875,-1.156294618171997,-1.168998960551423
-0.044634375,-1.170989640458639,-1.168998960551423
-0.04462187500000001,-1.18201090717362,-1.17267308858623
-0.044609375,-1.193032173888608,-1.17267308858623
-0.044596875,-1.207727196175243,-1.17267308858623
-0.044584375,-1.222422218461885,-1.17267308858623
-0.044571875,-1.233443485176866,-1.176347216621036
-0.04455937500000001,-1.244464751891847,-1.17267308858623
-0.044546875,-1.259159774178494,-1.172673088586232
-0.044534375,-1.27018104089347,-1.176347216621036
-0.044521875,-1.281202307608451,-1.176347216621036
-0.044509375,-1.295897329895093,-1.176347216621036
-0.04449687500000001,-1.310592352181735,-1.176347216621036
-0.044484375,-1.314266107753402,-1.180021344655843
-0.044471875,-1.328961130040037,-1.180021344655843
-0.044459375,-1.336308641183358,-1.180021344655843
-0.044446875,-1.351003663469999,-1.180021344655843
-0.04443437500000001,-1.362024930184981,-1.180021344655843
-0.044421875,-1.373046196899967,-1.180021344655843
-0.044409375,-1.384067463614943,-1.180021344655843
-0.044396875,-1.395088730329924,-1.183695472690649
-0.044384375,-1.406109997044906,-1.183695472690649
-0.04437187500000001,-1.420805019331547,-1.183695472690649
-0.044359375,-1.431826286046535,-1.187369600725456
-0.044346875,-1.44652130833317,-1.187369600725456
-0.044334375,-1.453868819476491,-1.187369600725456
-0.044321875,-1.464890086191472,-1.191043728760262
-0.04430937500000001,-1.475911352906454,-1.191043728760262
-0.04429687500000001,-1.48693261962143,-1.187369600725458
-0.044284375,-1.497953886336416,-1.187369600725456
-0.044271875,-1.508975153051398,-1.187369600725456
-0.044259375,-1.519996419766379,-1.191043728760262
-0.044246875,-1.5273439309097,-1.194717856795069
-0.04423437500000001,-1.538365197624676,-1.191043728760264
-0.044221875,-1.549386464339662,-1.194717856795069
-0.044209375,-1.556733975482983,-1.191043728760262
-0.044196875,-1.567755242197964,-1.191043728760262
-0.044184375,-1.578776508912946,-1.194717856795069
-0.04417187500000001,-1.586124020056263,-1.194717856795069
-0.044159375,-1.597145286771248,-1.194717856795069
-0.044146875,-1.608166553486229,-1.194717856795069
-0.044134375,-1.61918782020121,-1.198391984829875
-0.044121875,-1.626535331344531,-1.198391984829875
-0.04410937500000001,-1.637556598059507,-1.198391984829875
-0.044096875,-1.644904109202833,-1.198391984829875
-0.044084375,-1.652251620346154,-1.198391984829875
-0.044071875,-1.666946642632796,-1.202066112864682
-0.044059375,-1.674294153776116,-1.198391984829875
-0.04404687500000001,-1.681641664919434,-1.198391984829875
-0.044034375,-1.688989176062758,-1.202066112864682
-0.044021875,-1.700010442777739,-1.198391984829875
-0.044009375,-1.711031709492721,-1.202066112864682
-0.043996875,-1.714705465064381,-1.198391984829875
-0.04398437500000001,-1.725726731779357,-1.202066112864681
-0.043971875,-1.733074242922683,-1.198391984829875
-0.043959375,-1.740421754066004,-1.202066112864682
-0.043946875,-1.747769265209325,-1.202066112864682
-0.043934375,-1.758790531924306,-1.202066112864682
-0.04392187500000001,-1.762464287495965,-1.202066112864682
-0.043909375,-1.773485554210948,-1.205740240899488
-0.043896875,-1.777159309782608,-1.205740240899488
-0.043884375,-1.784506820925929,-1.205740240899488
-0.043871875,-1.79185433206925,-1.202066112864682
-0.04385937500000001,-1.799201843212567,-1.202066112864682
-0.043846875,-1.806549354355892,-1.205740240899488
-0.043834375,-1.813896865499212,-1.205740240899488
-0.043821875,-1.821244376642533,-1.205740240899488
-0.043809375,-1.824918132214194,-1.205740240899488
-0.04379687500000001,-1.832265643357511,-1.205740240899488
-0.043784375,-1.839613154500835,-1.209414368934294
-0.043771875,-1.846960665644156,-1.205740240899488
-0.043759375,-1.854308176787477,-1.205740240899488
-0.043746875,-1.861655687930798,-1.205740240899488
-0.04373437500000001,-1.865329443502457,-1.205740240899488
-0.043721875,-1.869003199074119,-1.209414368934294
-0.043709375,-1.87635071021744,-1.209414368934294
-0.043696875,-1.88369822136076,-1.209414368934294
-0.043684375,-1.891045732504081,-1.205740240899488
-0.04367187500000001,-1.89471948807574,-1.209414368934293
-0.043659375,-1.902066999219063,-1.209414368934294
-0.043646875,-1.902066999219063,-1.209414368934294
-0.043634375,-1.909414510362383,-1.209414368934294
-0.043621875,-1.913088265934044,-1.209414368934294
-0.04360937500000001,-1.916762021505704,-1.213088496969101
-0.043596875,-1.924109532649025,-1.209414368934294
-0.043584375,-1.927783288220686,-1.213088496969101
-0.043571875,-1.935130799364006,-1.213088496969101
-0.043559375,-1.935130799364006,-1.209414368934294
-0.04354687500000001,-1.942478310507327,-1.213088496969101
-0.043534375,-1.946152066078988,-1.213088496969101
-0.043521875,-1.949825821650648,-1.213088496969101
-0.043509375,-1.953499577222308,-1.213088496969101
-0.043496875,-1.957173332793969,-1.213088496969101
-0.04348437500000001,-1.960847088365629,-1.213088496969101
-0.043471875,-1.96452084393729,-1.209414368934294
-0.043459375,-1.96819459950895,-1.213088496969101
-0.043446875,-1.971868355080611,-1.213088496969101
-0.043434375,-1.975542110652271,-1.213088496969101
-0.04342187500000001,-1.979215866223931,-1.213088496969101
-0.043409375,-1.979215866223933,-1.213088496969101
-0.043396875,-1.982889621795592,-1.213088496969101
-0.043384375,-1.982889621795592,-1.213088496969101
-0.043371875,-1.990237132938913,-1.213088496969101
-0.04335937500000001,-1.990237132938913,-1.213088496969101
-0.043346875,-1.993910888510575,-1.213088496969101
-0.043334375,-1.997584644082234,-1.213088496969101
-0.043321875,-1.997584644082234,-1.213088496969101
-0.043309375,-2.001258399653894,-1.209414368934294
-0.04329687500000001,-2.001258399653894,-1.209414368934294
-0.043284375,-2.001258399653894,-1.213088496969101
-0.043271875,-2.001258399653894,-1.213088496969101
-0.043259375,-2.004932155225554,-1.213088496969101
-0.043246875,-2.008605910797215,-1.213088496969101
-0.04323437500000001,-2.008605910797215,-1.213088496969101
-0.043221875,-2.008605910797217,-1.213088496969101
-0.043209375,-2.012279666368875,-1.213088496969101
-0.043196875,-2.008605910797215,-1.213088496969101
-0.043184375,-2.008605910797215,-1.209414368934294
-0.04317187500000001,-2.012279666368875,-1.209414368934294
-0.043159375,-2.008605910797217,-1.213088496969101
-0.043146875,-2.012279666368875,-1.213088496969101
-0.043134375,-2.012279666368875,-1.213088496969101
-0.043121875,-2.012279666368875,-1.213088496969101
-0.04310937500000001,-2.012279666368875,-1.213088496969101
-0.043096875,-2.012279666368875,-1.2130884969691
-0.043084375,-2.012279666368875,-1.209414368934294
-0.043071875,-2.012279666368875,-1.213088496969101
-0.043059375,-2.008605910797215,-1.213088496969101
-0.04304687500000001,-2.008605910797215,-1.213088496969101
-0.043034375,-2.008605910797215,-1.213088496969101
-0.043021875,-2.008605910797215,-1.213088496969101
-0.043009375,-2.008605910797215,-1.213088496969101
-0.042996875,-2.004932155225554,-1.213088496969101
-0.04298437500000001,-2.008605910797215,-1.213088496969101
-0.042971875,-2.008605910797211,-1.2130884969691
-0.042959375,-2.001258399653894,-1.209414368934294
-0.042946875,-2.001258399653894,-1.213088496969101
-0.042934375,-2.001258399653894,-1.213088496969101
-0.04292187500000001,-1.997584644082234,-1.213088496969101
