#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2E82
#Date Time: 2024-09-19 10:50:59.707
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 15 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 4.99 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.005119444444444445,-0.09296073894111308,2.41521262503977
-0.005118194444444444,-0.09296073894111308,2.418886753074577
-0.005116944444444444,-0.09128880572142653,2.411538497004964
-0.005115694444444444,-0.08827932592599461,2.411538497004964
-0.005114444444444444,-0.08660739270630945,2.411538497004964
-0.005113194444444445,-0.08827932592599461,2.41521262503977
-0.005111944444444444,-0.08794493928205757,2.411538497004964
-0.005110694444444445,-0.08694177935024694,2.411538497004964
-0.005109444444444444,-0.08827932592599461,2.411538497004964
-0.005108194444444444,-0.08460107284268632,2.41521262503977
-0.005106944444444444,-0.08259475297906504,2.41521262503977
-0.005105694444444444,-0.08125720640331691,2.415212625039768
-0.005104444444444444,-0.08125720640331691,2.411538497004964
-0.005103194444444444,-0.08092281975937987,2.41521262503977
-0.005101944444444445,-0.07891649989575768,2.411538497004964
-0.005100694444444444,-0.08092281975937987,2.407864368970157
-0.005099444444444445,-0.08058843311544299,2.411538497004962
-0.005098194444444444,-0.0772445666760725,2.41521262503977
-0.005096944444444444,-0.07590702010032407,2.411538497004962
-0.005095694444444444,-0.07523824681245031,2.407864368970157
-0.005094444444444444,-0.07557263345638643,2.407864368970157
-0.005093194444444444,-0.07356631359276514,2.407864368970157
-0.005091944444444444,-0.07256315366095405,2.411538497004964
-0.005090694444444445,-0.07055683379733275,2.411538497004964
-0.005089444444444444,-0.07155999372914294,2.41521262503977
-0.005088194444444445,-0.07155999372914294,2.411538497004965
-0.005086944444444444,-0.06821612728977261,2.411538497004964
-0.005085694444444444,-0.06754735400189808,2.415212625039765
-0.005084444444444444,-0.06654419407008744,2.404190240935351
-0.005083194444444444,-0.06453787420646524,2.400516112900544
-0.005081944444444444,-0.06420348756252821,2.407864368970157
-0.005080694444444444,-0.06253155434284303,2.404190240935351
-0.005079444444444445,-0.06119400776709551,2.407864368970155
-0.005078194444444444,-0.0611940077670949,2.407864368970157
-0.005076944444444445,-0.06085962112315802,2.407864368970157
-0.005075694444444444,-0.05985646119134677,2.411538497004964
-0.005074444444444444,-0.05985646119134586,2.404190240935351
-0.005073194444444444,-0.05785014132772457,2.404190240935351
-0.005071944444444444,-0.05584382146410237,2.404190240935351
-0.005070694444444445,-0.0541718882444172,2.404190240935351
-0.005069444444444444,-0.05450627488835424,2.407864368970157
-0.005068194444444445,-0.05383750160048047,2.404190240935352
-0.005066944444444444,-0.04982486187323577,2.404190240935351
-0.005065694444444444,-0.04848731529748748,2.396841984865738
-0.005064444444444444,-0.0481529286535506,2.396841984865738
-0.005063194444444444,-0.04614660878992809,2.400516112900546
-0.005061944444444444,-0.04547783550205434,2.404190240935351
-0.005060694444444444,-0.04480906221418027,2.400516112900544
-0.005059444444444445,-0.0451434488581173,2.396841984865738
-0.005058194444444444,-0.04280274235055807,2.404190240935351
-0.005056944444444445,-0.04347151563843183,2.404190240935351
-0.005055694444444444,-0.042133969062684,2.400516112900544
-0.005054444444444444,-0.04179958241874576,2.400516112900544
-0.005053194444444444,-0.0391244892672507,2.400516112900544
-0.005051944444444444,-0.039124489267251,2.396841984865738
-0.005050694444444444,-0.03979326255512477,2.396841984865738
-0.005049444444444444,-0.0381213293354396,2.404190240935351
-0.005048194444444445,-0.0344430762521339,2.400516112900546
-0.005046944444444444,-0.03444307625213223,2.396841984865738
-0.005045694444444445,-0.03410868960819535,2.400516112900542
-0.005044444444444444,-0.03377430296425817,2.400516112900544
-0.005043194444444444,-0.03511184954000553,2.400516112900542
-0.005041944444444444,-0.03343991632032113,2.396841984865738
-0.005040694444444444,-0.03043043652488783,2.400516112900544
-0.005039444444444444,-0.03043043652488783,2.404190240935351
-0.005038194444444444,-0.03143359645669893,2.396841984865738
-0.005036944444444445,-0.03143359645669893,2.400516112900542
-0.005035694444444444,-0.03076482316882486,2.400516112900544
-0.005034444444444445,-0.02909288994914046,2.400516112900544
-0.005033194444444444,-0.02641779679764343,2.400516112900544
-0.005031944444444444,-0.02641779679764358,2.400516112900542
-0.005030694444444444,-0.02675218344158046,2.396841984865738
-0.005029444444444444,-0.02441147693402123,2.396841984865738
-0.005028194444444445,-0.02273954371433606,2.396841984865738
-0.005026944444444444,-0.02073322385071386,2.400516112900544
-0.005025694444444445,-0.01872690398709257,2.396841984865739
-0.005024444444444444,-0.01738935741134353,2.393167856830931
-0.005023194444444444,-0.01638619747953243,2.393167856830929
-0.005021944444444444,-0.01638619747953243,2.389493728796125
-0.005020694444444444,-0.01605181083559509,2.393167856830931
-0.005019444444444444,-0.01538303754772133,2.393167856830931
-0.005018194444444444,-0.01337671768409913,2.393167856830931
-0.005016944444444445,-0.01270794439622506,2.393167856830931
-0.005015694444444444,-0.01337671768409913,2.389493728796125
-0.005014444444444445,-0.01304233104016225,2.393167856830929
-0.005013194444444444,-0.01337671768409913,2.389493728796125
-0.005011944444444444,-0.01203917110835023,2.393167856830929
-0.005010694444444444,-0.01036723788866583,2.389493728796125
-0.005009444444444444,-0.01003285124472803,2.389493728796126
-0.005008194444444444,-0.008360918025043625,2.393167856830931
-0.005006944444444444,-0.007357758093232525,2.396841984865738
-0.005005694444444445,-0.004013891653862191,2.396841984865738
-0.005004444444444444,-0.002007571790239991,2.396841984865738
-0.005003194444444445,-0.004013891653861279,2.393167856830933
-0.005001944444444444,-0.003679505009925157,2.389493728796125
-0.005000694444444444,-0.002676345078113753,2.393167856830933
-0.004999444444444444,-0.002007571790239991,2.396841984865738
-0.004998194444444444,-0.000670025214491857,2.393167856830931
-0.004996944444444444,0.0006675213612562767,2.389493728796125
-0.004995694444444444,0.00300822786881551,2.389493728796125
-0.004994444444444445,0.0006675213612573408,2.393167856830929
-0.004993194444444444,-0.000670025214491857,2.389493728796125
-0.004991944444444445,0.001336294649129431,2.393167856830929
-0.004990694444444444,0.00300822786881551,2.393167856830931
-0.004989444444444444,0.003342614512752544,2.389493728796125
-0.004988194444444444,0.003342614512752544,2.389493728796125
-0.004986944444444444,0.003677001156689577,2.389493728796125
-0.004985694444444445,0.004345774444563644,2.400516112900544
-0.004984444444444444,0.008692800815745078,2.393167856830931
-0.004983194444444445,0.01103350732330325,2.396841984865736
-0.004981944444444444,0.01069912067936728,2.393167856830931
-0.004980694444444444,0.00835841417180911,2.385819600761322
-0.004979444444444444,0.01069912067936728,2.393167856830931
-0.004978194444444444,0.01337421383086431,2.393167856830929
-0.004976944444444444,0.01504614705054871,2.389493728796125
-0.004975694444444444,0.01404298711873761,2.393167856830931
-0.004974444444444445,0.01370860047480058,2.393167856830931
-0.004973194444444444,0.01604930698235981,2.393167856830931
-0.004971944444444445,0.01671808027023357,2.393167856830931
-0.004970694444444444,0.01638369362629685,2.396841984865738
-0.004969444444444444,0.01638369362629654,2.396841984865736
-0.004968194444444444,0.01571492033842278,2.393167856830931
-0.004966944444444444,0.01571492033842369,2.393167856830933
-0.004965694444444444,0.01772124020204498,2.396841984865738
-0.004964444444444444,0.01972756006566718,2.389493728796125
-0.004963194444444445,0.02006194670960421,2.389493728796125
-0.004961944444444444,0.02073071999747828,2.389493728796125
-0.004960694444444445,0.02006194670960452,2.393167856830929
-0.004959444444444444,0.02139949328535235,2.393167856830931
-0.004958194444444444,0.02173387992928908,2.389493728796125
-0.004956944444444444,0.02106510664141531,2.389493728796125
-0.004955694444444444,0.02407458643684861,2.393167856830931
-0.004954444444444444,0.02541213301259675,2.393167856830931
-0.004953194444444444,0.02440897308078565,2.393167856830931
-0.004951944444444445,0.02507774636865941,2.393167856830931
-0.004950694444444444,0.02541213301259675,2.393167856830931
-0.004949444444444445,0.02641529294440739,2.393167856830931
-0.004948194444444444,0.02875599945196708,2.385819600761318
-0.004946944444444444,0.03143109260346274,2.38581960076132
-0.004945694444444444,0.03009354602771522,2.389493728796125
-0.004944444444444444,0.02942477273984115,2.393167856830931
-0.004943194444444445,0.02875599945196708,2.393167856830931
-0.004941944444444444,0.02942477273984115,2.393167856830931
-0.004940694444444445,0.03243425253527309,2.389493728796126
-0.004939444444444444,0.03477495904283368,2.389493728796125
-0.004938194444444445,0.03343741246708616,2.389493728796125
-0.004936944444444444,0.03276863917921148,2.389493728796125
-0.004935694444444444,0.03444057239889801,2.396841984865736
-0.004934444444444444,0.03745005219432995,2.393167856830931
-0.004933194444444444,0.03745005219432995,2.393167856830931
-0.004931944444444445,0.03845321212614105,2.393167856830931
-0.004930694444444444,0.03912198541401512,2.389493728796125
-0.004929444444444445,0.03912198541401512,2.389493728796125
